Area,Bedrooms,Bathrooms,Parking,Age,Location,Price
1430,3,3,0,31,Riverside,18400000
1710,4,3,1,23,Tech Park,26700000
1480,3,3,1,11,Suburb,16400000
1600,4,3,1,28,Riverside,22790000
1630,3,4,2,26,Green Valley,23480000
1020,1,2,0,0,Green Valley,15480000
1290,2,3,0,34,Uptown,19890000
990,1,1,0,24,Outskirts,6980000
1570,3,2,1,16,City Center,37470000
930,1,1,0,45,Suburb,5580000
1120,2,2,0,20,Uptown,17620000
1200,3,3,0,10,City Center,22110000
1400,3,3,1,39,Outskirts,10350000
1350,2,1,0,16,Uptown,20550000
1700,4,4,1,15,City Center,34760000
720,1,1,0,0,Green Valley,10570000
1130,2,2,1,5,Uptown,22180000
1560,3,4,1,14,Outskirts,13170000
980,2,2,0,0,City Center,24310000
1640,4,3,0,7,Uptown,35660000
1080,2,2,0,5,Uptown,19090000
1000,1,1,0,32,Uptown,14600000
1760,3,3,1,9,City Center,42080000
1700,2,3,1,24,Green Valley,21320000
1850,3,3,1,9,Riverside,36010000
1220,2,2,0,29,Uptown,19220000
1630,3,2,1,23,Tech Park,23440000
1180,3,2,0,5,Outskirts,10260000
1160,3,2,0,22,Outskirts,8410000
1130,3,2,1,2,Suburb,13920000
1500,2,2,1,0,Green Valley,24220000
960,2,2,0,0,Tech Park,16470000
1180,2,2,1,13,Green Valley,16130000
1370,2,2,0,13,Riverside,20370000
940,2,3,0,24,Green Valley,12140000
1170,2,2,0,15,Riverside,15740000
1580,1,1,0,14,City Center,34530000
1650,3,2,1,29,Outskirts,11620000
1840,3,2,1,1,City Center,52440000
1540,3,3,1,28,Tech Park,22770000
790,2,3,0,11,Suburb,9470000
980,3,3,0,20,Tech Park,12950000
1030,1,1,0,0,Uptown,19740000
1080,3,3,0,32,Riverside,13990000
1120,2,1,0,11,City Center,23940000
1040,1,2,1,7,Outskirts,9470000
670,1,1,0,13,Uptown,11680000
1120,3,2,0,8,Suburb,13250000
1110,3,2,0,5,Riverside,22320000
820,2,3,0,21,Suburb,8680000
1710,2,2,1,10,Green Valley,25930000
1370,3,3,0,0,Tech Park,20980000
700,1,1,0,29,Outskirts,3920000
550,1,2,0,18,City Center,13630000
600,1,1,0,0,Suburb,8320000
1090,3,3,0,15,Uptown,18930000
1060,1,1,0,2,City Center,25630000
1440,2,1,0,18,Tech Park,20000000
1410,2,2,0,10,Green Valley,20440000
1370,5,3,1,16,Riverside,25460000
1050,2,2,0,27,Outskirts,7630000
1120,2,2,0,9,City Center,26470000
1070,1,1,0,15,Suburb,10960000
840,1,1,1,17,Tech Park,14290000
1180,2,2,0,22,Outskirts,9050000
700,1,2,0,21,Tech Park,10140000
1470,2,2,1,31,Uptown,25110000
1430,1,1,0,4,Tech Park,19470000
1150,2,2,0,11,City Center,29210000
1280,1,2,0,11,Suburb,14430000
1050,2,2,0,0,Tech Park,16920000
1830,3,3,1,10,Suburb,22060000
1440,2,2,0,5,Tech Park,25410000
1150,1,1,0,13,Riverside,18870000
790,1,1,0,24,Riverside,12840000
1270,2,2,0,15,Uptown,21660000
1090,2,2,0,2,Uptown,22980000
2360,4,3,1,41,City Center,48460000
1400,2,2,0,22,Outskirts,11410000
1050,2,2,0,4,Green Valley,16960000
1690,3,3,1,19,Outskirts,13330000
1570,3,2,2,27,Uptown,23840000
1260,2,2,0,15,Green Valley,18370000
970,1,1,0,13,Outskirts,6540000
1140,2,3,0,17,Outskirts,10010000
870,2,2,1,26,Suburb,9420000
1960,3,2,1,7,Riverside,36450000
1280,2,2,0,34,Uptown,21260000
970,2,2,0,5,Outskirts,8610000
1520,1,2,1,0,Riverside,26010000
1600,4,3,1,25,Green Valley,22530000
1420,3,3,0,37,Outskirts,11060000
1240,2,1,0,22,Outskirts,8030000
1900,3,3,1,0,City Center,53940000
1490,3,3,1,28,Outskirts,11690000
840,2,3,1,18,Green Valley,13420000
1440,1,2,0,23,Suburb,15140000
1250,2,2,1,6,Outskirts,10510000
860,1,1,0,40,Riverside,9580000
790,3,3,0,29,Tech Park,11060000
1140,3,3,0,6,Riverside,19890000
1370,2,2,0,24,Uptown,20710000
860,1,1,0,0,Uptown,16590000
1430,3,3,0,12,Uptown,26490000
1760,2,3,1,33,Riverside,22290000
1400,1,1,0,35,Green Valley,14450000
1220,3,3,0,18,Suburb,13180000
1000,2,2,0,9,Riverside,19700000
860,1,1,0,16,Green Valley,12010000
880,2,2,0,30,Riverside,12610000
1490,3,3,1,4,Uptown,30390000
1500,4,3,1,32,Outskirts,11420000
1600,1,1,1,15,Green Valley,20440000
1260,2,2,0,17,Outskirts,10420000
1170,3,2,0,9,Tech Park,21000000
820,3,3,0,27,Tech Park,11270000
2120,3,3,1,27,City Center,43500000
1300,2,2,0,16,Green Valley,17480000
610,1,2,0,34,Tech Park,8850000
1030,1,2,0,0,Tech Park,16250000
820,2,3,0,6,City Center,19380000
1450,1,2,0,21,Uptown,23580000
1070,1,1,0,32,Outskirts,6680000
1260,1,1,0,13,Riverside,20950000
1700,3,3,1,21,Outskirts,12630000
1550,2,2,1,23,Green Valley,19400000
700,2,2,0,23,Tech Park,8680000
1470,2,2,1,6,Tech Park,24390000
1340,2,1,0,29,Uptown,17670000
770,2,1,0,20,Green Valley,11950000
1970,3,4,1,0,Tech Park,37530000
1370,3,3,0,18,Uptown,23540000
550,1,1,0,16,Outskirts,4010000
1300,3,3,0,11,City Center,30850000
550,1,1,1,13,Tech Park,9440000
1210,2,2,0,25,Green Valley,13170000
2080,5,4,1,31,Green Valley,22870000
1000,1,1,0,9,Tech Park,15560000
990,2,2,0,33,Suburb,8760000
1080,3,3,0,10,City Center,22560000
1120,2,2,1,11,Suburb,12930000
1170,2,2,0,15,Uptown,20090000
1460,1,1,1,10,Suburb,16790000
1240,3,3,0,26,City Center,24390000
1300,2,3,0,0,Tech Park,23780000
820,2,2,0,12,Tech Park,13630000
1310,2,3,0,17,Suburb,14240000
1740,2,2,0,2,Tech Park,27860000
1380,2,2,0,10,City Center,29430000
1440,2,2,0,11,Uptown,25130000
1420,3,2,0,24,City Center,32140000
1270,2,2,0,31,Suburb,12610000
850,2,3,0,17,Uptown,14080000
1410,1,1,0,9,Outskirts,9440000
1600,4,3,2,5,Riverside,28770000
1020,2,3,0,21,Green Valley,13220000
1440,3,3,0,13,Suburb,15890000
550,1,1,1,9,Tech Park,10430000
860,2,2,0,17,Suburb,8570000
1250,2,2,0,22,Green Valley,16730000
640,1,1,0,12,Outskirts,5520000
2100,3,3,1,27,Riverside,31830000
1160,3,2,0,19,City Center,26150000
1950,2,2,1,18,City Center,46480000
1070,2,3,1,26,City Center,21310000
920,2,3,0,22,Green Valley,12930000
1380,2,2,0,10,City Center,34560000
980,1,2,0,16,Green Valley,13880000
730,1,1,0,14,Tech Park,12050000
760,1,2,0,0,Green Valley,12010000
1200,2,2,0,0,Outskirts,10550000
1540,3,3,1,6,City Center,34650000
1320,2,2,0,11,Green Valley,17950000
1540,2,3,1,2,Green Valley,21470000
1540,3,3,2,9,City Center,40710000
1610,3,2,0,12,Suburb,16150000
1240,3,3,0,15,Green Valley,19490000
670,1,1,0,2,Tech Park,13450000
1410,4,3,0,30,Outskirts,11820000
1390,1,1,0,29,Suburb,12200000
550,1,1,0,16,Riverside,10800000
1750,4,3,1,21,Uptown,28300000
610,1,1,0,0,City Center,15280000
1630,3,2,1,21,City Center,36520000
1250,1,1,1,11,Green Valley,20520000
870,1,1,0,26,Green Valley,10510000
990,1,2,0,14,City Center,20950000
1400,2,2,0,3,Riverside,25630000
1770,2,2,1,3,Tech Park,27370000
900,1,2,0,36,Outskirts,6560000
1300,2,2,0,23,Outskirts,8680000
770,1,1,0,27,Suburb,7600000
940,2,2,0,6,Riverside,18310000
1310,3,2,0,15,Suburb,14360000
550,1,1,0,35,Riverside,6520000
1590,3,3,1,19,Tech Park,24780000
1240,2,3,0,37,Tech Park,17770000
1310,1,1,1,9,Uptown,18490000
1040,3,3,0,15,Green Valley,13750000
1250,2,1,0,12,Suburb,11760000
1920,4,4,2,21,Tech Park,26350000
720,1,1,0,10,Riverside,11510000
1530,1,1,1,10,City Center,35450000
1240,1,1,0,34,Uptown,18410000
1020,1,1,0,27,Uptown,16440000
1150,2,2,0,25,Tech Park,17990000
1600,1,2,1,8,City Center,34100000
1170,2,3,0,2,Green Valley,18410000
2030,4,4,1,0,Outskirts,18610000
1570,4,3,1,12,Tech Park,24930000
1560,2,2,1,8,Uptown,30110000
1510,3,2,1,10,City Center,31980000
1240,2,2,1,25,Uptown,24160000
1050,1,1,0,6,Suburb,11940000
2010,4,3,1,9,Suburb,21200000
1240,3,2,0,31,Riverside,16380000
550,1,1,0,4,Riverside,9200000
1180,2,2,0,20,City Center,26540000
550,1,1,0,18,Tech Park,7410000
1710,2,1,2,32,City Center,35680000
1660,3,2,1,32,Tech Park,25600000
1250,2,2,0,43,City Center,22960000
1970,4,3,1,13,Green Valley,27110000
550,1,2,1,38,Uptown,8770000
2030,4,3,0,10,Uptown,39820000
1720,2,2,1,27,Suburb,15960000
1660,4,3,1,17,Outskirts,14600000
1760,3,3,0,11,Uptown,33150000
1330,4,4,0,1,Uptown,24530000
1080,3,2,0,13,Uptown,18390000
1590,2,2,1,16,Suburb,16280000
1100,3,4,0,1,Suburb,14170000
1650,4,4,2,25,Outskirts,13820000
1110,1,2,1,22,City Center,23230000
1150,1,1,0,25,Tech Park,17200000
1000,2,2,0,5,Uptown,21610000
820,2,2,0,21,City Center,15450000
990,2,2,0,12,Green Valley,15610000
1390,2,2,0,26,Suburb,11410000
2080,3,3,1,8,Riverside,35970000
1260,2,3,0,20,Green Valley,14150000
550,1,1,0,0,Tech Park,10340000
1070,1,2,0,0,Outskirts,9090000
2450,4,4,1,20,Green Valley,34380000
1840,3,3,2,14,Green Valley,25150000
990,1,2,1,20,Green Valley,13680000
1680,2,2,1,20,Tech Park,23700000
820,2,2,0,29,Riverside,11550000
1380,4,4,0,16,Outskirts,11850000
1180,1,2,0,12,Suburb,13730000
1650,3,3,1,6,Uptown,34620000
1120,1,2,0,17,Green Valley,15340000
800,1,1,0,6,City Center,19290000
1070,1,2,0,0,Riverside,19690000
1280,2,3,0,16,Uptown,22020000
2060,4,3,1,38,City Center,42140000
1290,2,3,0,25,Outskirts,9070000
1430,1,1,1,39,Tech Park,17310000
700,1,1,0,24,Suburb,7050000
1510,4,3,1,2,Tech Park,24960000
1470,2,3,1,0,Riverside,30570000
1020,3,3,1,10,Uptown,19800000
950,1,1,0,21,Outskirts,6800000
1510,4,4,1,33,Tech Park,20730000
1250,1,1,0,0,Tech Park,19830000
1650,3,3,1,12,Green Valley,23120000
1720,2,3,1,14,Uptown,28320000
1880,3,3,1,27,Riverside,30300000
1380,2,1,0,45,Outskirts,8060000
990,1,1,0,18,Tech Park,14910000
1010,2,2,0,8,Green Valley,17280000
1510,3,3,1,0,Riverside,32360000
1380,2,2,1,6,Outskirts,11240000
1050,2,2,0,20,Outskirts,8030000
1080,2,2,0,30,Tech Park,15900000
1160,1,2,0,4,Outskirts,9530000
1620,3,2,1,16,Outskirts,13350000
1710,4,4,1,19,Uptown,31540000
660,1,1,0,12,Outskirts,5400000
700,1,1,0,11,Uptown,11670000
1510,4,3,1,1,City Center,43480000
930,2,2,0,0,Tech Park,15380000
1720,2,2,1,0,Tech Park,28440000
650,1,1,0,2,Tech Park,11140000
1570,1,1,1,31,Green Valley,16920000
1670,4,3,1,15,Riverside,31900000
990,2,1,0,31,Suburb,8270000
1260,2,1,0,12,Tech Park,20680000
1850,3,3,0,3,Green Valley,25230000
1170,3,2,0,4,Tech Park,17500000
930,1,1,0,33,Riverside,12030000
1380,3,3,0,28,Tech Park,20900000
1050,3,2,0,10,Suburb,12780000
1500,4,3,1,24,Outskirts,11480000
970,3,3,0,37,Tech Park,12040000
640,1,1,0,32,Riverside,8070000
1680,3,2,2,20,Tech Park,26030000
1530,3,3,1,6,Riverside,28810000
660,2,3,0,23,Riverside,10940000
1090,2,2,0,7,Tech Park,16450000
1090,2,2,0,22,Uptown,17620000
950,2,2,0,33,Uptown,16970000
1170,2,2,0,1,Outskirts,9920000
1150,2,2,0,16,Tech Park,19510000
